display,name,revenue_mln,avg_price,parent_category,full_path,issues,fix_action
Автотовары / Датчики фаз,Датчики утечки газа,0.0,250.0,Автотовары,Автотовары/Запчасти/Электрооборудование/Датчики автомобильные,zero_revenue,Мёртвая ниша
Здоровье / Для женского здоровья,Страхование здоровья,0.0,984.0,Здоровье,Здоровье/БАДы/Для женского здоровья,zero_revenue,Мёртвая ниша
Спорт / Баллончики для пневматики,Перцовые баллончики,0.0,885.0,Спорт,Спорт/Товары для самообороны/Газовый баллончик учебный,zero_revenue,Мёртвая ниша
Для ремонта / Генератор,Кварцевые генераторы,0.0,365.0,Для ремонта,Для ремонта/Микроэлектроника/Электронные компоненты/Кварцевый генератор,zero_revenue,Мёртвая ниша
Канцтовары / Ножи канцелярские,Канцелярские товары,0.0,1646.0,Канцтовары,Канцтовары/Офисные принадлежности/Нож канцелярский,zero_revenue,Мёртвая ниша
Автотовары / Очистители фар,Очистители плесени,0.0,444.0,Автотовары,Автотовары/Автокосметика и автохимия/Очистители автомобильные/Очиститель универсальный,zero_revenue,Мёртвая ниша
Мототовары,Мототовары,0.0,27300.0,Автотовары,Автотовары/Мототовары,zero_revenue,Мёртвая ниша
Акции / Васаберы,Васаберы,0.0,300.5,Акции,Акции/Дачные скидки/Продукты/Снеки/Васаберы,zero_revenue,Мёртвая ниша
Шторы и аксессуары,Шторы и аксессуары,0.0,4141.0,Дом,Дом/Шторы/Аксессуары/Аксессуары для штор,zero_revenue,Мёртвая ниша
Автотовары / Трос для мототехники,Страхование техники,0.0,1387.0,Автотовары,Автотовары/Мототовары/Другие детали/Другие запчасти для мототехники,zero_revenue,Мёртвая ниша
Продукты / Замороженные вторые блюда,Вторые блюда,0.0,252.0,Продукты,Продукты/Мясная продукция/Замороженные вторые блюда,zero_revenue,Мёртвая ниша
Акции / Маргарин,Маргарин,0.0,59.0,Акции,Акции/Дачные скидки/Продукты/Молочные продукты и яйца/Маргарин,zero_revenue,Мёртвая ниша
Замороженные паровые булочки,Замороженные паровые булочки,0.0,1838.0,Продукты,"Продукты/Сладости и хлебобулочные изделия/Хлеб, булочки, лепешки/Паровые булочки",zero_revenue,Мёртвая ниша
Женщинам / Бюстгальтеры и бюстье,Бюстье,0.0,840.0,Женщинам,Женщинам/Белье/Бюстгальтеры и бюстье,zero_revenue,Мёртвая ниша
Электрические перцемолки,Электрические перцемолки,0.0,880.0,Для ремонта,Для ремонта/Крепеж/Такелаж/Тали электрические,zero_revenue,Мёртвая ниша
Игрушки / Вертушки детские,Тушки кальмаров,0.0,519.0,Продукты,Продукты/Рыба и морепродукты/Тушка кальмара,zero_revenue,Мёртвая ниша
Сад и дача / Меха для розжига,Береста для розжига,0.0,2289.0,Сад и дача,"Сад и дача/Грили, мангалы и барбекю/Уголь, дрова и средства для розжига",zero_revenue,Мёртвая ниша
Детям / Таблички детские,Таблички для бани,0.0,349.0,Сад и дача,Сад и дача/Товары для бани и сауны/Предметы интерьера бани/Таблички и наклейки информационные,zero_revenue,Мёртвая ниша
Мужчинам / Топы,Стопы для фистинга,0.0,616.0,Товары для взрослых,Товары для взрослых/Секс игрушки/Фаллоимитаторы и страпоны/Стопа для фистинга,zero_revenue,Мёртвая ниша
Стейки,Стейки,0.0,429.5,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Отбеливающие карандаши для зубов,Отбеливающие карандаши для зубов,0.0,723.0,Здоровье,Здоровье/Уход за полостью рта/Отбеливающее средство для зубов,zero_revenue,Мёртвая ниша
Зразы,Зразы,0.0,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue, no_price",Мёртвая ниша (нет пути)
Кушоны,Кушоны,0.0,600.0,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Брелоки для автомобильных ключей,Брелоки для автомобильных ключей,0.0,428.0,Аксессуары,Аксессуары/Бижутерия/Брелоки/Для автомобильных ключей,zero_revenue,Мёртвая ниша
Продукты / Пресервы рыбные,Пресервы рыбные,0.0,137.5,Продукты,Продукты/Рыба и морепродукты/Консервы рыбные,zero_revenue,Мёртвая ниша
Запчасти для посудомоечных машин,Запчасти для посудомоечных машин,0.0,2643.5,Бытовая техника,Бытовая техника/Крупная бытовая техника/Аксессуары и запчасти для крупной бытовой техники/Аксессуары и запчасти для посудомоечных машин,zero_revenue,Мёртвая ниша
Шаурма,Шаурма,0.0,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue, no_price",Мёртвая ниша (нет пути)
Держатели для резинок,Держатели для резинок,0.0,1287.0,Дом,Дом/Ванная/Держатели/Держатель для ванной,zero_revenue,Мёртвая ниша
Хозяйственные товары,Хозяйственные товары,0.0,521.0,Дом,Дом/Хозяйственные товары,zero_revenue,Мёртвая ниша
Коврики для холодильника,Коврики для холодильника,0.0,237.0,Бытовая техника,Бытовая техника/Крупная бытовая техника/Аксессуары и запчасти для крупной бытовой техники/Запчасть для холодильника,zero_revenue,Мёртвая ниша
Золотые слитки,Золотые слитки,0.0,27.0,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Женщинам / Бандажи,Бандажи грыжевые,0.0,1942.5,Здоровье,Здоровье/Ортопедия/Бандажи и ортезы/Бандаж ортопедический,zero_revenue,Мёртвая ниша
Красота / Кремы,Кремы восстановители,0.0,1215.0,Дом,Дом/Хозяйственные товары/Уход за одеждой/Восстановители кожи,zero_revenue,Мёртвая ниша
Акции / Коннекторы и штуцеры садовые,Штуцеры,0.0,1163.0,Сад и дача,Сад и дача/Полив/Коннекторы и штуцеры садовые,zero_revenue,Мёртвая ниша
Красота / Бальзамы,Сиропы-бальзамы,0.0,372.0,Продукты,Продукты/Здоровое питание/Сироп,zero_revenue,Мёртвая ниша
