display,name,niche_status,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales,mpstats_path,issues,is_critical
Дом / Открытки,Открытки 18+,seasonal,0,194,0.0%,100.0%,0.0%,0,Дом/Все для праздника/Открытки,"no_commission, no_profit, no_sellers",False
Женщинам / Бюстгальтеры и бюстье,Бюстье,seasonal,0,840,0.0%,100.0%,40.6%,0,Женщинам/Белье/Бюстгальтеры и бюстье,"no_commission, no_sellers",False
Аксессуары / Цепочки,Очки для селфи,seasonal,0,"1,253",0.0%,0.0%,46.0%,0,Аксессуары/Очки и футляры/Аксессуары для очков/Очки для компьютера,"no_commission, no_buyout, no_sellers",False
Женщинам / Бандажи,Бандажи грыжевые,seasonal,0,"1,942",0.0%,100.0%,49.9%,0,Здоровье/Ортопедия/Бандажи и ортезы/Бандаж ортопедический,"no_commission, no_sellers",False
Дом / Кресла,Кресла-глайдеры,seasonal,0,"12,800",0.0%,100.0%,55.9%,0,Дом/Гостиная/Мебель/Кресло-качалка,"no_commission, no_sellers",False
Пульты для светильников,Пульты для светильников,dead,0,730,0.0%,100.0%,38.1%,0,Дом/Освещение/Комплектующие для светильников,"no_commission, no_sellers",False
Замороженные паровые булочки,Замороженные паровые булочки,seasonal,0,"1,838",1650.0%,0.0%,0.0%,0,"Продукты/Сладости и хлебобулочные изделия/Хлеб, булочки, лепешки/Паровые булочки","no_buyout, no_profit, no_sellers",False
Кронштейны садовые,Кронштейны садовые,dead,0,398,0.0%,0.0%,22.4%,0,Сад и дача/Уличное и садовое освещение/Кронштейн для уличного светильника,"no_commission, no_buyout, no_sellers",False
Зажимы для воздушных шаров,Зажимы для воздушных шаров,seasonal,0,792,0.0%,80.0%,39.6%,0,Дом/Все для праздника/Воздушные шарики и аксессуары/Аксессуар для воздушных шаров,"no_commission, no_sellers",False
Запчасти для фермерской техники,Запчасти для фермерской техники,seasonal,0,"17,400",0.0%,100.0%,56.2%,0,Сад и дача/Садовая техника/Двигатели и запчасти для садовой техники/Запчасть для садовой техники,"no_commission, no_sellers",False
Защита стволов деревьев,Защита стволов деревьев,seasonal,0,346,0.0%,97.4%,17.1%,0,Спорт/Для мужчин/Защита,"no_commission, no_sellers",False
Красота / Кремы,Кремы восстановители,seasonal,0,"1,215",0.0%,100.0%,45.6%,0,Дом/Хозяйственные товары/Уход за одеждой/Восстановители кожи,"no_commission, no_sellers",False
Женщинам / Комбинации и неглиже,Комбинации,seasonal,0,0,0.0%,50.0%,0.0%,0,Женщинам/Белье/Комбинации и неглиже,"no_commission, no_profit, no_sellers",False
Биттер,Биттер,dead,0,0,450.0%,0.0%,0.0%,0,,"no_buyout, no_profit, no_sellers",False
Коврики для холодильника,Коврики для холодильника,seasonal,0,237,0.0%,0.0%,0.0%,0,Бытовая техника/Крупная бытовая техника/Аксессуары и запчасти для крупной бытовой техники/Запчасть для холодильника,"no_commission, no_buyout, no_profit, no_sellers",False
Холодная сварка,Холодная сварка,dead,0,329,0.0%,100.0%,15.0%,0,,"no_commission, no_sellers",False
Сникеры,Сникеры,dead,0,"2,470",0.0%,0.0%,51.4%,0,,"no_commission, no_buyout, no_sellers",False
Кольца для штор,Кольца для штор,seasonal,0,328,0.0%,100.0%,14.9%,0,Дом/Шторы/Аксессуары/Аксессуары для штор,"no_commission, no_sellers",False
Красота / Бальзамы,Сиропы-бальзамы,seasonal,0,372,0.0%,100.0%,19.9%,0,Продукты/Здоровое питание/Сироп,"no_commission, no_sellers",False
Автотовары / Система смазки,Смазки для сверления,seasonal,0,570,0.0%,0.0%,32.8%,0,"Для ремонта/Инструменты и оснастка/Сверление, долбление, закручивание/Смазка для откручивания","no_commission, no_buyout, no_sellers",False
Дом / Органайзеры,Органайзеры дверные,seasonal,0,672,0.0%,85.0%,36.5%,0,Дом/Хранение вещей/Органайзеры,"no_commission, no_sellers",False
Бытовая техника / Пылесосы,Мини-пылесосы,seasonal,0,"3,200",0.0%,97.1%,52.7%,0,Бытовая техника/Техника для дома/Пылесосы и пароочистители/Ручные и мини-пылесосы,"no_commission, no_sellers",False
Электроника / Цифровые ручки,Уровни цифровые,seasonal,0,"4,500",0.0%,100.0%,53.9%,0,Для ремонта/Инструменты и оснастка/Измерительные приборы/Комплектующие для лазерного уровня и нивелира,"no_commission, no_sellers",False
Сад и дача / Меха для розжига,Береста для розжига,seasonal,0,"2,289",0.0%,80.0%,51.0%,0,"Сад и дача/Грили, мангалы и барбекю/Уголь, дрова и средства для розжига","no_commission, no_sellers",False
Детям / Коляски-люльки,Коляски-люльки,seasonal,0,"15,000",0.0%,87.5%,56.1%,0,Детям/Прогулки и путешествия/Коляски/Коляски-люльки,"no_commission, no_sellers",False
Консерванты,Консерванты,dead,0,796,0.0%,0.0%,39.7%,0,,"no_commission, no_buyout, no_sellers",False
Комплектующие для дровокола,Комплектующие для дровокола,seasonal,0,"2,929",0.0%,100.0%,52.3%,0,Автотовары/Инструменты/Автосервисное оборудование/Комплектующие для компрессоров,"no_commission, no_sellers",False
Шарниры для ригелей,Шарниры для ригелей,dead,0,206,0.0%,100.0%,0.0%,0,,"no_commission, no_profit, no_sellers",False
Мультиметры,Мультиметры,seasonal,0,"1,357",0.0%,100.0%,46.8%,0,Автотовары/Инструменты/Тестеры,"no_commission, no_sellers",False
Электроника / Соединители цепей,Соединители карнизов,seasonal,0,478,0.0%,100.0%,28.1%,0,Дом/Шторы/Карнизы/Комплектующие для карнизов,"no_commission, no_sellers",False
Отбеливающие карандаши для зубов,Отбеливающие карандаши для зубов,seasonal,0,723,0.0%,100.0%,37.9%,0,Здоровье/Уход за полостью рта/Отбеливающее средство для зубов,"no_commission, no_sellers",False
Приборы для очищения кожи,Приборы для очищения кожи,seasonal,0,"2,341",0.0%,0.0%,51.1%,0,Бытовая техника/Красота и здоровье/Медицинские приборы/Чехол для медицинского прибора,"no_commission, no_buyout, no_sellers",False
Ленты для гирлянд из воздушных шаров,Ленты для гирлянд из воздушных шаров,dead,0,268,0.0%,100.0%,5.5%,0,Дом/Все для праздника/Воздушные шарики и аксессуары/Аксессуар для воздушных шаров,"no_commission, no_sellers",False
Игрушки / Фигурки,Фигурки кованые,seasonal,0,"1,205",0.0%,100.0%,45.6%,0,Дом/Предметы интерьера/Фигурки и статуэтки,"no_commission, no_sellers",False
Прочая дверная фурнитура,Прочая дверная фурнитура,seasonal,0,"1,500",0.0%,100.0%,47.8%,0,"Для ремонта/Двери, окна и фурнитура/Двери и фурнитура","no_commission, no_sellers",False
Брюки горнолыжные,Брюки горнолыжные,seasonal,0,"9,335",0.0%,35.4%,55.5%,0,Женщинам/Брюки,"no_commission, no_sellers",False
Костюмы охотничьи,Костюмы охотничьи,seasonal,0,"1,757",0.0%,100.0%,49.2%,0,Женщинам/Костюмы,"no_commission, no_sellers",False
Мешки для хранения белья,Мешки для хранения белья,seasonal,0,525,0.0%,0.0%,30.7%,0,Дом/Гостиная/Коробки для хранения/Органайзер для хранения,"no_commission, no_buyout, no_sellers",False
Мужчинам / Жилеты,Жилеты утепленные,seasonal,0,"10,998",0.0%,47.8%,55.8%,0,Женщинам/Большие размеры/Верхняя одежда/Жилеты,"no_commission, no_sellers",False
Боулы,Боулы,dead,0,880,1650.0%,81.8%,72.4%,0,,no_sellers,False
Дом / Диваны,Диваны надувные,seasonal,0,"1,202",0.0%,100.0%,45.5%,0,Дом/Гостиная/Мебель/Диван бескаркасный,"no_commission, no_sellers",False
Подвески ювелирная бижутерия,Подвески ювелирная бижутерия,dead,0,787,0.0%,0.0%,39.5%,0,Женщинам/Подарки женщинам/Бижутерные украшения/Подвеска бижутерная,"no_commission, no_buyout, no_sellers",False
Золотые слитки,Золотые слитки,dead,0,27,2950.0%,0.0%,0.0%,0,,"no_buyout, no_profit, no_sellers",False
Костюмы горнолыжные,Костюмы горнолыжные,dead,0,"7,858",0.0%,100.0%,55.2%,0,Спорт/Для детей/Одежда/Костюмы и комбинезоны/Куртка горнолыжная,"no_commission, no_sellers",False
Красота / Наборы,Наборы для барбекю,seasonal,0,"2,040",0.0%,100.0%,50.2%,0,"Сад и дача/Грили, мангалы и барбекю/Решетки и аксессуары для гриля и мангала/Набор для пикника","no_commission, no_sellers",False
Шаурма,Шаурма,dead,0,0,1650.0%,0.0%,35.5%,0,,"no_buyout, no_sellers",False
Игрушки / Вертушки детские,Тушки кальмаров,seasonal,0,519,1650.0%,70.0%,0.0%,0,Продукты/Рыба и морепродукты/Тушка кальмара,"no_profit, no_sellers",False
Багги,Багги,dead,0,"368,242",50.0%,0.0%,7.0%,0,,"no_buyout, no_sellers",False
Запеканки,Запеканки,dead,0,0,1650.0%,100.0%,0.0%,0,,"no_profit, no_sellers",False
Коврики для запекания,Коврики для запекания,seasonal,0,664,0.0%,96.9%,36.2%,0,Дом/Кухня/Выпечка и запекание/Коврик для выпечки,"no_commission, no_sellers",False
Подпятники для мебели,Подпятники для мебели,dead,0,219,0.0%,100.0%,0.0%,0,Для ремонта/Крепеж/Мебельная фурнитура/Накладка-протектор для мебели,"no_commission, no_profit, no_sellers",False
Бассейны,Бассейны,seasonal,0,"1,365",0.0%,100.0%,46.9%,0,Сад и дача/Бассейны,"no_commission, no_sellers",False
