display,name,niche_status,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales,mpstats_path,issues,is_critical
Зоотовары / Снаряды для аджилити,Снаряды для аджилити,,"579,416",893,1650.0%,0.0%,0.0%,32,Зоотовары/Для собак/Амуниция для прогулки и дрессировки/Снаряды для аджилити,"no_buyout, no_profit",False
Противогеморроидальные препараты,Противогеморроидальные препараты,,"553,349",565,300.0%,0.0%,0.0%,2,Лекарственные препараты,"no_buyout, no_profit",False
Сад и дача / Камни для бани,Лепные камни,,"536,215","1,498",2950.0%,0.0%,0.0%,35,Дом/Досуг и творчество/Творчество и рукоделие/Аксессуары и материалы для рукоделия/Декор/Литьевые камни,"no_buyout, no_profit",False
Продукты / Яйца,Яйца,,"525,169",297,1650.0%,0.0%,0.0%,5,Продукты/Молочные продукты и яйца/Яйца,"no_buyout, no_profit",False
Сад и дача / Футляры для спичек,Футляры для спичек,,"520,880",833,2950.0%,0.0%,0.0%,34,Сад и дача/Товары для бани и сауны/Предметы интерьера бани/Футляры для спичек,"no_buyout, no_profit",False
Сад и дача / Веранды и террасы,Веранды и террасы,,"518,239","209,300",300.0%,0.0%,0.0%,3,Сад и дача/Готовые строения и срубы/Веранды и террасы,"no_buyout, no_profit",False
Женщинам / Кигуруми,Кигуруми для малышей,,"516,054","1,120",3450.0%,0.0%,0.0%,42,Детям/Для новорожденных/Комбинезоны и полукомбинезоны/Кигуруми для малыша,"no_buyout, no_profit",False
Стоматологические препараты,Стоматологические препараты,,"513,138",565,300.0%,0.0%,0.0%,2,Лекарственные препараты,"no_buyout, no_profit",False
Продукты / Сардельки,Сардельки,,"511,705",466,1650.0%,0.0%,0.0%,3,Продукты/Мясная продукция/Сардельки,"no_buyout, no_profit",False
Термокомбинезоны спортивные,Термокомбинезоны спортивные,,"493,284","3,234",3450.0%,0.0%,0.0%,13,Спорт/Велоспорт/Экипировка/Термокомбинезоны спортивные,"no_buyout, no_profit",False
Детям / Таблички детские,Таблички детские,,"490,717","1,087",2650.0%,0.0%,0.0%,35,Детям/Детская комната/Декор для детской комнаты/Таблички детские,"no_buyout, no_profit",False
Продукты / Замороженные фрукты,Замороженные фрукты,,"489,738",876,1650.0%,0.0%,0.0%,2,Продукты/Замороженная продукция/Замороженные фрукты,"no_buyout, no_profit",False
Транспортные средства / Снегоходы,Снегоходы,,"483,960","199,000",50.0%,0.0%,6.9%,1,Транспортные средства/Мототехника/Снегоходы,no_buyout,False
Женщинам / Бриджи,Бриджи для малышей,,"480,566",424,3450.0%,25.0%,0.0%,18,Детям/Для новорожденных/Брюки и шорты/Бриджи для малыша,no_profit,False
Устройства для изготовления помпонов,Устройства для изготовления помпонов,,"475,503","1,354",2950.0%,0.0%,0.0%,52,Дом/Досуг и творчество/Творчество и рукоделие/Инструменты для рукоделия/Устройство для изготовления помпонов,"no_buyout, no_profit",False
Блоки подогрева и стерилизации воды для поилки,Блоки подогрева и стерилизации воды для поилки,,"469,346","1,727",2150.0%,0.0%,0.0%,20,Зоотовары/Аксессуары для кормления/Блок подогрева и стерилизации воды для поилки,"no_buyout, no_profit",False
Продукты / Сахарная вата,Сахарная вата,,"468,718",414,2150.0%,0.0%,0.0%,38,Продукты/Вкусные подарки/Сахарная вата,"no_buyout, no_profit",False
Женщинам / Соединители бретелей,Соединители бретелей,,"464,356",545,3450.0%,0.0%,0.0%,29,Женщинам/Белье/Аксессуары/Соединитель бретелей,"no_buyout, no_profit",False
Крепления для вейкборда,Крепления для вейкборда,,"462,390",694,2250.0%,0.0%,0.0%,12,Спорт/Водные виды спорта/Аксессуары/Крепления для вейкборда,"no_buyout, no_profit",False
Защитные колпачки для термометров,Защитные колпачки для термометров,,"460,506",502,2650.0%,0.0%,0.0%,23,Детям/Товары для малыша/Гигиена и уход/Защитный колпачок для термометра,"no_buyout, no_profit",False
Дом / Шкафы поворотные,Шкафы поворотные,,"459,239","1,649",2150.0%,0.0%,0.0%,24,Дом/Прихожая/Мебель/Шкаф поворотный,"no_buyout, no_profit",False
Детям / Машинки,Картмашинки,,"458,647","2,119",3000.0%,0.0%,0.0%,39,Электроника/Электротранспорт и аксессуары/Картмашинка,"no_buyout, no_profit",False
Продукты / Замороженные овощи,Замороженные овощи,,"453,976",887,1650.0%,0.0%,0.0%,5,Продукты/Замороженная продукция/Замороженные овощи,"no_buyout, no_profit",False
Комплектующие для диффузоров,Комплектующие для диффузоров,,"449,138",888,2950.0%,0.0%,0.0%,30,Дом/Парфюмерия для дома/Комплектующее для диффузора,"no_buyout, no_profit",False
Пистолеты-распылители кондитерские,Пистолеты-распылители кондитерские,,"443,951",815,2950.0%,100.0%,0.0%,39,Дом/Кухня/Кухонная утварь/Пистолет-распылитель кондитерский,no_profit,False
Дом / Светодиоды,Диоды,,"443,357",425,2350.0%,0.0%,0.0%,15,Для ремонта/Электрика/Освещение/Светодиоды,"no_buyout, no_profit",False
Зоотовары / Велоспрингеры,Велоспрингеры,,"435,910","4,259",2150.0%,0.0%,0.0%,22,Зоотовары/Для собак/Амуниция для прогулки и дрессировки/Велоспрингер,"no_buyout, no_profit",False
Товары для взрослых / Перчатки эротик,Перчатки эротик,,"432,757",839,2950.0%,64.3%,0.0%,23,Товары для взрослых/Белье и аксессуары/Перчатки эротик,no_profit,False
Автотовары / Мотоакустика,Мотоакустика,,"430,129","1,888",2650.0%,0.0%,0.0%,16,Автотовары/Автоэлектроника и навигация/Мотоакустика,"no_buyout, no_profit",False
Продукты / Йогурт,Йогурты,,"429,628",64,2150.0%,0.0%,0.0%,3,Продукты/Молочные продукты и яйца/Йогурт,"no_buyout, no_profit",False
Блоки зажигания снегохода,Блоки зажигания снегохода,,"426,420","1,174",2150.0%,0.0%,0.0%,6,Автотовары/Мототовары/Электрооборудование/Блок зажигания снегохода,"no_buyout, no_profit",False
Продукты / Замороженные грибы,Замороженные грибы,,"426,290",321,1650.0%,0.0%,0.0%,5,Продукты/Готовая еда/Закуски/Замороженные грибы,"no_buyout, no_profit",False
Ершовая загрузка,Ершовая загрузка,no_cat_path,"421,888",326,2800.0%,0.0%,0.0%,24,,"no_buyout, no_profit",False
Электроника / Проектор,Проекторы отверстий,,"413,575","1,063",3100.0%,0.0%,0.0%,29,Для ремонта/Инструменты и оснастка/Измерительные приборы/Проектор отверстий,"no_buyout, no_profit",False
Продукты / Узвар,Узвар,,"412,966",419,2150.0%,0.0%,0.0%,3,Продукты/Напитки/Узвар,"no_buyout, no_profit",False
Рукоятки дроссельной заслонки,Рукоятки дроссельной заслонки,,"411,647",802,2750.0%,0.0%,0.0%,25,Автотовары/Запчасти/Двигатель/Газораспределение/Газораспределительная заслонка,"no_buyout, no_profit",False
Противомаститные препараты для животных,Противомаститные препараты для животных,,"405,479",979,1650.0%,0.0%,0.0%,12,Зоотовары/Лекарственные препараты для животных,"no_buyout, no_profit",False
Чехлы для спортивных утюгов,Чехлы для спортивных утюгов,,"391,326","4,211",2750.0%,0.0%,0.0%,3,Дом/Хозяйственные товары/Гладильные доски и аксессуары/Вода для утюгов,"no_buyout, no_profit",False
Роторные флисовые валики,Роторные флисовые валики,,"388,328",789,2250.0%,0.0%,0.0%,26,Дом/Досуг и творчество/Творчество и рукоделие/Рисование и лепка/Валик художественный,"no_buyout, no_profit",False
Для ремонта / Феррит,Ферриты,,"384,602",586,2850.0%,0.0%,0.0%,23,Для ремонта/Микроэлектроника/Электронные компоненты/Феррит,"no_buyout, no_profit",False
Мужчинам / Анораки,Анораки для малышей,,"382,659","1,199",3450.0%,0.0%,0.0%,13,Аксессуары/Ремни и пояса/Анораки,"no_buyout, no_profit",False
Спорт / Сани тренировочные,Сани тренировочные,,"379,913","1,415",2250.0%,0.0%,0.0%,23,Спорт/Фитнес и тренажеры/Аксессуары/Сани тренировочные,"no_buyout, no_profit",False
Для ремонта / Изоленты,Траурные ленты,,"379,560",374,3450.0%,0.0%,0.0%,16,Дом/Все для праздника/Букеты/Ленты упаковочные,"no_buyout, no_profit",False
Автотовары / Стеклоподъемники,Подъемники для ванны,,"376,212","5,938",2750.0%,0.0%,0.0%,7,Здоровье/Реабилитация/Подъемник для ванны,"no_buyout, no_profit",False
Экраны защиты информации,Экраны защиты информации,,"369,846","1,091",2750.0%,0.0%,0.0%,26,"Электроника/Ноутбуки, компьютеры и периферия/Аксессуары для ноутбуков/Экраны защиты информации","no_buyout, no_profit",False
Калитки,Калитки,,"369,771","1,168",2350.0%,0.0%,0.0%,32,Для ремонта/Стройматериалы/Заборы и ограждения/Калитка,"no_buyout, no_profit",False
Фильтры для курительных трубок,Фильтры для курительных трубок,,"360,377",779,2850.0%,0.0%,0.0%,31,Для ремонта/Спецодежда и СИЗы/Средства индивидуальной защиты и экипировка/Фильтр для респиратора,"no_buyout, no_profit",False
Акции / Купаты,Купаты,,"359,434",210,1650.0%,0.0%,0.0%,1,Акции/Дачные скидки/Продукты/Мясная продукция/Купаты,"no_buyout, no_profit",False
Дом / Трости для скрипки,Трости для скрипки,,"357,079",720,2350.0%,0.0%,0.0%,21,Дом/Досуг и творчество/Профессиональные музыкальные инструменты/Трость для скрипки,"no_buyout, no_profit",False
Ультразвуковые приборы для проверки герметичности,Ультразвуковые приборы для проверки герметичности,,"354,712","1,233",2650.0%,0.0%,0.0%,19,Для ремонта/Инструменты и оснастка/Измерительные приборы/Ультразвуковой прибор для проверки герметичности,"no_buyout, no_profit",False
Красота / Муссы,Муссы молочные,seasonal,"345,921",999,1650.0%,0.0%,0.0%,0,Красота/Для загара/Муссы,"no_buyout, no_profit, no_sellers",False
Акции / Замороженная птица,Замороженная птица,,"345,239",820,1650.0%,0.0%,0.0%,2,Продукты/Замороженная продукция,"no_buyout, no_profit",False
Скамьи для измерения гибкости,Скамьи для измерения гибкости,,"341,908","1,775",2250.0%,0.0%,0.0%,18,Спорт/Оборудование для сдачи нормативов/Скамья для измерения гибкости,"no_buyout, no_profit",False
Зоотовары / Корсеты для животных,Корсеты для животных,,"340,524",403,1650.0%,0.0%,0.0%,27,Зоотовары/Ветаптека/Корсет для животных,"no_buyout, no_profit",False
Пульты для дрессировки,Пульты для дрессировки,,"339,813",948,2150.0%,0.0%,0.0%,23,Зоотовары/Для собак/Амуниция для прогулки и дрессировки/Пульт для дрессировки,"no_buyout, no_profit",False
Продукты / Пироги,Пироги,,"338,983",655,1650.0%,100.0%,0.0%,6,"Продукты/Сладости и хлебобулочные изделия/Пироги, сдоба, кексы, рулеты/Пирог",no_profit,False
Сад и дача / Лекарственные растения,Лекарственные травы,,"337,283",241,300.0%,0.0%,0.0%,2,"Сад и дача/Растения, семена и грунты/Семена/Лекарственные растения","no_buyout, no_profit",False
Втулки для лыжероллеров,Втулки для лыжероллеров,,"329,134",607,2700.0%,0.0%,0.0%,30,Спорт/Зимние виды спорта/Беговые лыжи/Лыжероллеры и комплектующие/Втулка для лыжероллеров,"no_buyout, no_profit",False
Продукты / Начинки для выпечки,Начинки для выпечки,,"327,670",956,2150.0%,0.0%,0.0%,13,Продукты/Бакалея/Все для выпечки/Начинка для выпечки,"no_buyout, no_profit",False
Спорт / Роликовые коньки,Конвейеры роликовые,,"323,354","1,030",2150.0%,0.0%,0.0%,18,Сад и дача/Садовая техника/Зернодробилки/Ролик конвейерный,"no_buyout, no_profit",False
Сдвигаемые панели крыши,Сдвигаемые панели крыши,,"322,165","4,066",2600.0%,0.0%,0.0%,13,Автотовары/Запчасти/Кузов/Сдвигаемая панель крыши,"no_buyout, no_profit",False
Ростеры для обжарки кофе,Ростеры для обжарки кофе,,"320,278",903,2450.0%,0.0%,0.0%,29,Бытовая техника/Техника для кухни/Аксессуары для кухонной техники/Ростер для обжарки кофе,"no_buyout, no_profit",False
Платежные браслеты,Платежные браслеты,,"310,622",354,2750.0%,0.0%,0.0%,39,Аксессуары/Бижутерия/Браслеты,"no_buyout, no_profit",False
Ручки для скандинавских палок,Ручки для скандинавских палок,,"310,622",463,2750.0%,0.0%,0.0%,21,Спорт/Бег.Ходьба/Ходьба/Снаряжение/Ручка для скандинавской палки,"no_buyout, no_profit",False
Электроника / Дисплеи для камер,Выносные дисплеи,,"288,705","3,647",2650.0%,0.0%,0.0%,24,Мебель/Торговое оборудование/Кассовые аппараты/Выносной дисплей,"no_buyout, no_profit",False
Зоотовары / Шины для животных,Шины для животных,,"285,658",680,1650.0%,0.0%,0.0%,22,Зоотовары/Для кошек/Игрушки и когтеточки/Шины для животных,"no_buyout, no_profit",False
Факельные устройства облегчения пуска,Факельные устройства облегчения пуска,,"283,627",916,2150.0%,0.0%,0.0%,22,Автотовары/Запчасти/Электрооборудование/Запуск и питание/Факельное устройство облегчения пуска,"no_buyout, no_profit",False
Дом / Обручи для барабанов,Обручи для барабанов,,"283,617","1,544",2850.0%,0.0%,0.0%,34,Дом/Досуг и творчество/Профессиональные музыкальные инструменты/Обруч для барабана,"no_buyout, no_profit",False
Калибраторы для фруктов и овощей,Калибраторы для фруктов и овощей,,"268,904",951,2950.0%,0.0%,0.0%,18,Сад и дача/Садовые инструменты/Инструменты для посадки и сбора урожая/Калибратор для фруктов и овощей,"no_buyout, no_profit",False
Замороженные вторые блюда,Замороженные вторые блюда,,"268,710",0,1650.0%,0.0%,0.0%,3,Продукты/Готовая еда/Закуски/Замороженные вторые блюда,"no_buyout, no_profit",False
Направляющие для напильника,Направляющие для напильника,,"268,308","1,363",2250.0%,0.0%,0.0%,6,Автотовары/Запчасти/Топливная система/Форсунки/Направляющие суппорта,"no_buyout, no_profit",False
Бытовая техника / Карамелизаторы,Карамелизаторы,,"260,854","1,121",1950.0%,0.0%,0.0%,7,Бытовая техника/Техника для кухни/Приготовление блюд/Карамелизатор,"no_buyout, no_profit",False
Экипировка для снегохода,Экипировка для снегохода,,"259,746","1,262",2150.0%,0.0%,0.0%,24,Автотовары/Мототовары/Мотоэкипировка/Экипировка для снегохода,"no_buyout, no_profit",False
Подставки под гладильные прессы,Подставки под гладильные прессы,,"259,518","2,088",2950.0%,0.0%,0.0%,24,Бытовая техника/Техника для дома/Утюги и отпариватели/Подставка под гладильный пресс,"no_buyout, no_profit",False
Мужчинам / Жилеты,Жилеты фиксирующие,,"256,024",528,2550.0%,100.0%,0.0%,20,Здоровье/Реабилитация/Жилет фиксирующий,no_profit,False
Полупроводниковые модули,Полупроводниковые модули,,"254,132","1,055",2850.0%,0.0%,0.0%,9,Для ремонта/Микроэлектроника/Электронные компоненты/Полупроводниковый модуль,"no_buyout, no_profit",False
Для ремонта / Удлинители,Удлинители для боди,,"252,592",548,3450.0%,0.0%,0.0%,10,Детям/Для новорожденных/Боди и ползунки/Удлинитель для боди,"no_buyout, no_profit",False
Продукты / Стритфуд,Стритфуд,,"251,970",0,1650.0%,0.0%,0.0%,3,Продукты/Готовая еда/Закуски/Стритфуд,"no_buyout, no_profit",False
Бытовая техника / Весы,Навесы над крыльцом,,"251,929","4,043",2800.0%,0.0%,0.0%,13,"Для ремонта/Двери, окна и фурнитура/Двери и фурнитура/Навес над крыльцом","no_buyout, no_profit",False
Товары для взрослых / Слепки эротик,Слепки эротик,,"250,827","2,712",2450.0%,0.0%,0.0%,15,Дом/Досуг и творчество/Творчество и рукоделие/Наборы для творчества/Набор для создания слепков,"no_buyout, no_profit",False
Дом / Ножки для барабанов,Ножки для барабанов,,"249,326",568,2850.0%,0.0%,0.0%,24,Дом/Досуг и творчество/Профессиональные музыкальные инструменты/Ножки для барабана,"no_buyout, no_profit",False
Электроника / Гироцикл,Гироциклы,,"243,112","5,768",2550.0%,0.0%,0.0%,14,Электроника/Электротранспорт и аксессуары/Гироцикл,"no_buyout, no_profit",False
Навигация для робот-пылесосов,Навигация для робот-пылесосов,,"242,992","1,156",2550.0%,0.0%,0.0%,26,Бытовая техника/Техника для дома/Аксессуары для пылесосов/Навигация для робот-пылесосов,"no_buyout, no_profit",False
Высотомеры,Высотомеры,no_cat_path,"232,170","2,962",2250.0%,0.0%,0.0%,6,,"no_buyout, no_profit",False
Рукава для дрессировки,Рукава для дрессировки,,"227,903","2,977",2150.0%,0.0%,0.0%,13,Зоотовары/Для собак/Амуниция для прогулки и дрессировки/Рукав для дрессировки,"no_buyout, no_profit",False
Замороженные хлебобулочные изделия,Замороженные хлебобулочные изделия,,"226,649",228,1650.0%,0.0%,0.0%,2,Продукты/Готовая еда/Закуски/Замороженные хлебобулочные изделия,"no_buyout, no_profit",False
Панельки под микросхемы,Панельки под микросхемы,no_cat_path,"222,125",432,2850.0%,0.0%,0.0%,4,,"no_buyout, no_profit",False
Товары для взрослых / Поводки эротик,Поводки эротик,,"217,364","1,088",2950.0%,0.0%,0.0%,22,Товары для взрослых/Фетиш и БДСМ/Поводок эротик,"no_buyout, no_profit",False
Саке,Саке,no_cat_path,"214,340","3,720",450.0%,0.0%,0.0%,2,,"no_buyout, no_profit",False
Здоровье / Кольца для похудения,Кольца для похудения,,"214,025",427,2500.0%,0.0%,0.0%,46,Здоровье/Оздоровление/Кольцо для похудения,"no_buyout, no_profit",False
Здоровье / Дефибриллятор,Дефибрилляторы,,"207,017","106,376",2550.0%,0.0%,0.0%,2,Здоровье/Медицинские приборы/Дефибриллятор,"no_buyout, no_profit",False
Акции / Филе,Филе,,"205,867",0,1650.0%,0.0%,0.0%,2,Акции/Дачные скидки/Продукты/Мясная продукция/Филе,"no_buyout, no_profit",False
Бытовая техника / Маринаторы,Маринаторы,,"200,998","1,579",2450.0%,0.0%,0.0%,31,Бытовая техника/Техника для кухни/Аксессуары для кухонной техники/Маринатор,"no_buyout, no_profit",False
Продукты / Мескаль,Мескаль,,"199,170","6,430",450.0%,0.0%,0.0%,1,Продукты/Алкоголь/Крепкие напитки/Мескаль,"no_buyout, no_profit",False
Продукты / Креветки,Креветки,,"197,924",497,1650.0%,0.0%,0.0%,7,Продукты/Здоровое питание/Креветки,"no_buyout, no_profit",False
Мицеллярная вода для животных,Мицеллярная вода для животных,,"196,985",801,2150.0%,0.0%,0.0%,17,Зоотовары/Груминг и уход/Мицеллярная вода для животных,"no_buyout, no_profit",False
Для ремонта / Стеклоблоки,Стеклоблоки,,"195,349","1,675",2850.0%,0.0%,0.0%,7,Для ремонта/Отделочные материалы/Напольные покрытия/Стеклоблоки,"no_buyout, no_profit",False
Счетчики пылевых частиц,Счетчики пылевых частиц,,"195,040",340,3100.0%,0.0%,0.0%,31,Для ремонта/Инструменты и оснастка/Измерительные приборы/Счетчик пылевых частиц,"no_buyout, no_profit",False
Акции / Фотометр,Фотометры,,"194,901","2,260",2500.0%,0.0%,0.0%,3,Акции/Дачные скидки/Здоровье/Медицинские приборы/Фотометр,"no_buyout, no_profit",False
Шпиндели автомобильные,Шпиндели автомобильные,no_cat_path,"192,967","1,562",2150.0%,0.0%,0.0%,20,,"no_buyout, no_profit",False
Грануляторы для комбикорма,Грануляторы для комбикорма,,"192,760","1,018",2150.0%,100.0%,0.0%,15,Зоотовары/Фермерство/Гранулятор для комбикорма,no_profit,False
Акции / Рыбные палочки,Рыбные деликатесы,,"187,724",297,2150.0%,0.0%,0.0%,3,Продукты/Рыба и морепродукты/Рыбный деликатес,"no_buyout, no_profit",False
Аксессуары / Тики,Мастики спортивные,,"183,996","4,435",2750.0%,0.0%,0.0%,3,Аксессуары/Ремни и пояса/Другие аксессуары для спорта,"no_buyout, no_profit",False
Верёвочные перекладины,Верёвочные перекладины,,"182,924",499,2750.0%,100.0%,0.0%,19,Здоровье/Реабилитация/Верёвочная перекладина,no_profit,False
Продукты / Рыба,Рыба,,"179,777",615,1650.0%,0.0%,0.0%,3,Продукты/Рыба и морепродукты/Рыба,"no_buyout, no_profit",False
Трафареты для окрашивания животных,Трафареты для окрашивания животных,,"175,119",679,1650.0%,0.0%,0.0%,15,Зоотовары/Груминг и уход/Трафарет для окрашивания животного,"no_buyout, no_profit",False
Для ремонта / Двутавры,Двутавры,,"174,904","1,301",2850.0%,0.0%,0.0%,5,Для ремонта/Стройматериалы/Металлопрокат/Двутавр,"no_buyout, no_profit",False
Продукты / Фрикадельки,Фрикадельки,,"173,521",0,1650.0%,0.0%,0.0%,2,Продукты/Бакалея/Крупы/Фрикадельки,"no_buyout, no_profit",False
Продукты / Абсент,Абсент,,"169,146","3,069",450.0%,0.0%,0.0%,2,Продукты/Алкоголь/Крепкие напитки/Абсент,"no_buyout, no_profit",False
Лотки сменные для лыж,Лотки сменные для лыж,,"168,473","1,273",2750.0%,0.0%,0.0%,4,Аксессуары/Ремни и пояса/Темляки для лыжных палок,"no_buyout, no_profit",False
Фильтры для масок ветрозащитных,Фильтры для масок ветрозащитных,,"164,262",566,3450.0%,0.0%,0.0%,29,Женщинам/Спецодежда и СИЗы/Средства защиты органов дыхания/Фильтр для масок ветрозащитных,"no_buyout, no_profit",False
Продукты / Блины,Блины,,"163,710",0,2150.0%,0.0%,0.0%,4,Продукты/Готовая еда/Закуски/Блины,"no_buyout, no_profit",False
Направляющие под каретку,Направляющие под каретку,,"160,472","1,812",2750.0%,0.0%,0.0%,14,Для ремонта/Крепеж/Крепеж для деревянных конструкций/Направляющие мебельные,"no_buyout, no_profit",False
Спорт / Матрас для санок,Спинки для санок,,"156,412","2,740",2250.0%,0.0%,0.0%,6,"Спорт/Для детей/Ватрушки, ледянки/Накидка для санок","no_buyout, no_profit",False
Продукты / Сет,Сеты,,"156,280","1,274",1650.0%,0.0%,0.0%,39,Продукты/Готовая еда/Роллы и суши/Сет,"no_buyout, no_profit",False
Продукты / Сырники,Сырники,,"154,698",375,1650.0%,0.0%,0.0%,4,Продукты/Здоровое питание/Сырники,"no_buyout, no_profit",False
Ремешки для высотомеров,Ремешки для высотомеров,,"150,673",254,2250.0%,0.0%,0.0%,16,Аксессуары/Часы и ремешки/Ремешки для пульсометров,"no_buyout, no_profit",False
Продукты / Хачапури,Хачапури,seasonal,"150,512",447,1650.0%,0.0%,0.0%,0,Продукты/Готовая еда/Хачапури,"no_buyout, no_profit, no_sellers",False
Для ремонта / Блок-хаус,Блок-хаус,,"147,713","1,333",2850.0%,100.0%,0.0%,21,Для ремонта/Стройматериалы/Пиломатериалы/Блок-хаус,no_profit,False
Женщинам / Дафлкоты,Дафлкоты для малышей,,"147,171","1,038",2950.0%,0.0%,0.0%,14,Женщинам/Верхняя одежда/Дафлкоты,"no_buyout, no_profit",False
Продукты / Сыры жареные,Сыры жареные,,"144,958","1,078",1650.0%,0.0%,0.0%,4,Продукты/Готовая еда/Закуски/Сыр жареный,"no_buyout, no_profit",False
Товары для взрослых / Мармелад эротик,Мармелад эротик,,"144,776",422,2950.0%,0.0%,0.0%,5,Товары для взрослых/Сувениры/Мармелад эротик,"no_buyout, no_profit",False
Акции / Чевапчичи,Чевапчичи,,"144,522",195,1650.0%,0.0%,0.0%,2,Акции/Дачные скидки/Продукты/Мясная продукция/Чевапчичи,"no_buyout, no_profit",False
Мебель / Барные стойки,Стойки для баллонов,,"143,583","1,480",2350.0%,0.0%,0.0%,30,"Сад и дача/Грили, мангалы и барбекю/Грили газовые и аксессуары к ним/Стойка для баллонов","no_buyout, no_profit",False
Навесное оборудование для спецтехники,Навесное оборудование для спецтехники,,"140,712","90,076",50.0%,0.0%,6.8%,1,Для ремонта/Обустройство мастерской/Оборудование для мастерской,no_buyout,False
Товары для взрослых / Колеса Вартенберга,Колеса Вартенберга,,"140,124","1,430",2450.0%,0.0%,0.0%,18,Товары для взрослых/Фетиш и БДСМ/Колесо Вартенберга,"no_buyout, no_profit",False
Дом / Стакан для зубных щеток,Оси для щеток,,"138,777","1,788",2250.0%,0.0%,0.0%,3,Здоровье/Уход за полостью рта/Насадки для электрических зубных щеток,"no_buyout, no_profit",False
Продукты / Пицца,Пицца,,"134,532","1,124",1650.0%,0.0%,0.0%,1,Продукты/Готовая еда/Пицца,"no_buyout, no_profit",False
Для ремонта / Грильято,Грильято,,"133,480","1,147",2800.0%,0.0%,0.0%,34,Для ремонта/Отделочные материалы/Потолочные покрытия/Грильято,"no_buyout, no_profit",False
Костюмы реабилитационные,Костюмы реабилитационные,,"132,226",835,2750.0%,0.0%,0.0%,10,Здоровье/Реабилитация/Костюм реабилитационный,"no_buyout, no_profit",False
Уход за инструментами,Уход за инструментами,,"131,195",677,2150.0%,0.0%,0.0%,8,Зоотовары/Груминг и уход/Уход за инструментами,"no_buyout, no_profit",False
Кардиофлешки для животных,Кардиофлешки для животных,,"127,876",697,1650.0%,0.0%,0.0%,5,Зоотовары/Для кошек/Груминг и уход/Кардиофлешка для животных,"no_buyout, no_profit",False
Ползунки для животных,Ползунки для животных,,"126,193",851,1650.0%,0.0%,0.0%,3,Зоотовары/Для кошек/Одежда/Ползунки для животных,"no_buyout, no_profit",False
Буферы тележки снегохода,Буферы тележки снегохода,,"126,152","1,879",2150.0%,0.0%,0.0%,3,Автотовары/Мототовары/Ходовая часть/Буфер тележки снегохода,"no_buyout, no_profit",False
Продукты / Наггетсы,Наггетсы,,"125,857",358,1650.0%,0.0%,0.0%,5,Продукты/Готовая еда/Закуски/Наггетсы,"no_buyout, no_profit",False
Приборы регистрации частичных разрядов,Приборы регистрации частичных разрядов,,"125,736",471,2350.0%,0.0%,0.0%,11,"Для ремонта/Электрика/Автоматы, щиты и счетчики/Прибор регистрации частичных разрядов","no_buyout, no_profit",False
Женщинам / Кейпы,Кейпы для малышей,,"121,782",555,2950.0%,0.0%,0.0%,23,Детям/Для девочек/Костюмы/Костюм для малыша,"no_buyout, no_profit",False
Продукты / Вареники,Вареники,,"120,226",292,1650.0%,0.0%,0.0%,6,Продукты/Вкусные подарки/Вареники,"no_buyout, no_profit",False
Продукты / Тесто,Тесто,,"116,355",664,2150.0%,0.0%,0.0%,5,Продукты/Бакалея/Все для выпечки/Тесто,"no_buyout, no_profit",False
Бытовая техника / Кухонные плиты,Плиты пазогребневые,,"111,369",781,2850.0%,0.0%,0.0%,6,Для ремонта/Стройматериалы/Возведение стен/Плита пазогребневая,"no_buyout, no_profit",False
Косметика для лодок и яхт,Косметика для лодок и яхт,,"110,037","1,917",2150.0%,0.0%,0.0%,2,Автотовары/Запчасти для лодок и катеров,"no_buyout, no_profit",False
Сменные накладки для шлеек,Сменные накладки для шлеек,,"109,425",820,1650.0%,0.0%,0.0%,7,Зоотовары/Для собак/Амуниция для прогулки и дрессировки/Сменная накладка для шлейки,"no_buyout, no_profit",False
Насосы для секс кукол,Насосы для секс кукол,,"109,104","1,684",2450.0%,0.0%,0.0%,2,Товары для взрослых/Интимная косметика/Насос для секс куклы,"no_buyout, no_profit",False
Для ремонта / Очки лазерные,Лазерные излучатели,,"108,838","1,949",2850.0%,0.0%,0.0%,11,Для ремонта/Микроэлектроника/Оптоэлектроника/Лазерный излучатель,"no_buyout, no_profit",False
Продукты / Макаруны,Макаруны,,"107,857",833,1650.0%,0.0%,0.0%,2,Продукты/Бакалея/Все для выпечки/Макаруны,"no_buyout, no_profit",False
Электронные сертификаты,Электронные сертификаты,,"105,330","2,925",500.0%,0.0%,0.0%,1,Дом/Предметы интерьера/Часы/Часы электронные,"no_buyout, no_profit",False
Продукты / Конечности краба,Конечности краба,,"104,736","2,458",1650.0%,0.0%,0.0%,1,Продукты/Рыба и морепродукты/Конечности краба,"no_buyout, no_profit",False
Корпуса для гироскутеров,Корпуса для гироскутеров,,"104,582","1,958",2450.0%,0.0%,0.0%,5,Электроника/Электротранспорт и аксессуары/Корпус для гироскутера,"no_buyout, no_profit",False
Продукты / Сыр,Сырки глазированные,,"103,931",65,1650.0%,0.0%,0.0%,1,Продукты/Здоровое питание/Сыр,"no_buyout, no_profit",False
Акции / Рыбные палочки,Рыбные палочки,,"103,540",696,1650.0%,0.0%,0.0%,10,Продукты/Готовая еда/Закуски/Рыбные палочки,"no_buyout, no_profit",False
