display,name,revenue_mln,avg_price,commission_pct,buyout_pct,parent_category,full_path,issues,niche_status,fix_action
Для ремонта / Колючие проволоки,Проволоки сварочные,0.0,1266.0,0.0,1.0,Для ремонта,Для ремонта/Стройматериалы/Изоляционные материалы/Колючие проволоки,zero_revenue,seasonal,Сезонная — данные ограничены
Уплотнители для душевых кабин,Уплотнители для душевых кабин,0.0,834.0,0.0,1.0,Для ремонта,Для ремонта/Сантехника/Комплектующие для душевых кабин,zero_revenue,,Мёртвая ниша
Несессеры,Несессеры,0.0,723.5,0.0,1.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Мотыги,Мотыги,0.0,10018.0,0.0,1.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Тяпки,Тяпки,0.0,1421.5,0.0,0.9,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Люверсы,Люверсы,0.0,659.0,0.0,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Сад и дача / Арки садовые,Садовые ограждения,0.0,788.0,0.0,0.9473999999999999,Для ремонта,Для ремонта/Стройматериалы/Заборы и ограждения,zero_revenue,,Мёртвая ниша
Женщинам / Бандажи,Бандажи набедренные,0.0,2667.0,0.0,1.0,Здоровье,Здоровье/Ортопедия/Бандажи и ортезы/Бандаж ортопедический,zero_revenue,dead,DEAD — скрыть из поиска
Холодная сварка,Холодная сварка,0.0,329.0,0.0,1.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Зразы,Зразы,0.0,0.0,16.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue, no_price",,Мёртвая ниша
Подхваты,Подхваты,0.0,333.5,0.0,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Красота / Шампуни,Шампуни для париков,0.0,10126.0,0.0,0.0,Красота,Красота/Инструменты для парикмахеров/Инструменты и принадлежности/Аксессуары для парикмахеров,zero_revenue,,Мёртвая ниша
Опунция,Опунция,0.0,2015.0,16.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Бандажи большого пальца ноги,Бандажи большого пальца ноги,0.0,950.5,0.0,0.8654000000000001,Здоровье,Здоровье/Ортопедия/Бандажи и ортезы/Вставка для большого пальца,zero_revenue,dead,DEAD — скрыть из поиска
Агроперлит,Агроперлит,0.0,9682.5,0.0,0.987,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Указатели правильности чередования фаз,Указатели правильности чередования фаз,0.0,11816.0,0.0,1.0,Автотовары,Автотовары/Запчасти/Электрооборудование/Датчики автомобильные/Датчик фаз,zero_revenue,,Мёртвая ниша
Сад и дача / Бак для бани,Шайки для бани,0.0,3114.0,0.0,1.0,Сад и дача,Сад и дача/Товары для бани и сауны/Банный текстиль/Набор аксессуаров для бани,zero_revenue,,Мёртвая ниша
Канцтовары / Клей,Клей для плитки,0.0,10494.0,0.0,1.0,Для ремонта,Для ремонта/Лакокрасочные материалы/Покрытия для дерева/Клей строительный,zero_revenue,seasonal,Сезонная — данные ограничены
Зажигалки электронные,Зажигалки электронные,0.0,618.0,0.0,1.0,Дом,Дом/Кухня/Кухонная утварь/Пьезозажигалки,zero_revenue,dead,DEAD — скрыть из поиска
Коврики для нагрева воды,Коврики для нагрева воды,0.0,256.0,0.0,1.0,Дом,Дом/Коврики,zero_revenue,dead,DEAD — скрыть из поиска
Браслеты парикмахерские,Браслеты парикмахерские,0.0,544.0,0.0,1.0,Женщинам,Женщинам/Подарки женщинам/Красота/Браслеты,zero_revenue,dead,DEAD — скрыть из поиска
Ремкомплекты для бассейнов,Ремкомплекты для бассейнов,0.0,960.5,0.0,1.0,Сад и дача,Сад и дача/Бассейны/Аксессуары для бассейнов/Ремкомплект для надувной мебели,zero_revenue,,Мёртвая ниша
Автотовары / Габаритные огни,Бенгальские огни,0.0,1600.0,0.0,0.0,Автотовары,Автотовары/Другие аксессуары и доп. оборудование/Электроника/Габаритные огни,zero_revenue,dead,DEAD — скрыть из поиска
Колье ювелирная бижутерия,Колье ювелирная бижутерия,0.0,2712.5,0.0,0.0,Аксессуары,Аксессуары/Бижутерия/Колье,zero_revenue,dead,DEAD — скрыть из поиска
Поке,Поке,0.0,0.0,21.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue, no_price",,Мёртвая ниша
Кутабы,Кутабы,0.0,0.0,16.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue, no_price",,Мёртвая ниша
Холодец,Холодец,0.0,155.0,16.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Детям / Игрушечные гаражи,Гаражи сборные,0.0,200000.0,3.0,0.0,Сад и дача,Сад и дача/Готовые строения и срубы/Гараж сборный,zero_revenue,seasonal,Сезонная — данные ограничены
Продукты / Замороженные вторые блюда,Вторые блюда,0.0,252.0,34.5,0.7,Продукты,Продукты/Мясная продукция/Замороженные вторые блюда,zero_revenue,seasonal,Сезонная — данные ограничены
Самса,Самса,0.0,155.0,16.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Акции / Маргарин,Маргарин,0.0,59.0,16.5,0.7,Акции,Акции/Дачные скидки/Продукты/Молочные продукты и яйца/Маргарин,zero_revenue,seasonal,Сезонная — данные ограничены
