display,name,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales
Товары для взрослых / Анальные крюки,Анальные крюки,"361,423","1,024",2950.0%,100.0%,63.7%,27
Фильтры для курительных трубок,Фильтры для курительных трубок,"360,377",779,2850.0%,70.0%,8.6%,31
Майки послеоперационные,Майки послеоперационные,"358,024","1,668",2550.0%,67.5%,67.4%,5
Красота / Футляры для помад,Футляры для помад,"357,212",507,3250.0%,100.0%,52.0%,51
Дом / Трости для скрипки,Трости для скрипки,"357,079",720,2350.0%,70.0%,12.3%,21
Товары для взрослых / Мыло эротик,Мыло эротик,"355,105",369,2950.0%,75.0%,39.9%,35
Ультразвуковые приборы для проверки герметичности,Ультразвуковые приборы для проверки герметичности,"354,712","1,233",2650.0%,70.0%,16.3%,19
Бытовая техника / Утюги,Утюги смазочные,"354,671","5,336",2750.0%,100.0%,71.0%,8
Спорт / Защита ног лошади,Защита ног лошади,"352,393","1,394",2950.0%,71.4%,65.6%,27
Коньки для лыж снегохода,Коньки для лыж снегохода,"350,629","3,304",2150.0%,100.0%,76.5%,6
Продукты / Закуски,Закуски,"349,507",178,2150.0%,80.0%,41.1%,15
Пластыри для животных,Пластыри для животных,"347,032",413,2150.0%,100.0%,50.8%,15
Дом / Шилья для рукоделия,Шилья для кальяна,"345,827",414,2850.0%,91.1%,46.4%,22
Акции / Замороженная птица,Замороженная птица,"345,239",820,1650.0%,70.0%,21.4%,2
Автотовары / Предохранители автомобильные,Хранители паролей,"345,062",680,2750.0%,100.0%,58.2%,28
Трубки для питьевой системы,Трубки для питьевой системы,"342,787",644,2750.0%,100.0%,61.7%,38
Скамьи для измерения гибкости,Скамьи для измерения гибкости,"341,908","1,775",2250.0%,70.0%,23.2%,18
Камертоны медицинские,Камертоны медицинские,"341,545",965,3150.0%,100.0%,61.1%,19
Термоколготки спортивные,Термоколготки спортивные,"340,740","1,508",3450.0%,100.0%,60.5%,35
Зоотовары / Корсеты для животных,Корсеты для животных,"340,524",403,1650.0%,70.0%,6.2%,27
Пульты для дрессировки,Пульты для дрессировки,"339,813",948,2150.0%,70.0%,18.3%,23
Горжетки,Горжетки,"339,133","1,389",3450.0%,100.0%,60.0%,22
Продукты / Пироги,Пироги,"338,983",655,1650.0%,100.0%,17.7%,6
Джеггинсы для малышей,Джеггинсы для малышей,"338,795",307,3450.0%,53.0%,1.5%,35
Продукты / Пасты фруктовые,Пасты фруктовые,"338,506",459,2150.0%,100.0%,62.1%,15
Ниппели под термометры,Ниппели под термометры,"335,825",460,2450.0%,96.2%,59.0%,38
Мешки для фильтрующих наполнителей,Мешки для фильтрующих наполнителей,"334,737",804,1650.0%,100.0%,71.6%,32
Автотовары / Накидки,Слинг-накидки,"334,457","1,756",2650.0%,50.0%,67.4%,42
Аудиокниги CD,Аудиокниги CD,"331,071",794,2950.0%,66.7%,60.6%,41
Втулки для лыжероллеров,Втулки для лыжероллеров,"329,134",607,2700.0%,70.0%,5.7%,30
Продукты / Начинки для выпечки,Начинки для выпечки,"327,670",956,2150.0%,70.0%,18.5%,13
Пленки для панорамных масок,Пленки для панорамных масок,"326,205","1,517",2850.0%,100.0%,63.7%,10
Спорт / Роликовые коньки,Конвейеры роликовые,"323,354","1,030",2150.0%,70.0%,19.3%,18
Ремешки для пульсометров,Ремешки для пульсометров,"323,072",569,3450.0%,100.0%,52.6%,35
Дом / Ершики кухонные,Ершики для кальянов,"322,491",388,2850.0%,66.7%,50.6%,35
Сдвигаемые панели крыши,Сдвигаемые панели крыши,"322,165","4,066",2600.0%,70.0%,23.5%,13
Пинцеты для коллекционирования,Пинцеты для коллекционирования,"320,703",592,2450.0%,100.0%,60.2%,52
Инструменты для тейпирования гипсокартона,Инструменты для тейпирования гипсокартона,"320,701","1,378",3150.0%,100.0%,64.2%,60
Ростеры для обжарки кофе,Ростеры для обжарки кофе,"320,278",903,2450.0%,70.0%,14.7%,29
Насосы для распыления фломастеров,Насосы для распыления фломастеров,"319,360",460,2950.0%,100.0%,53.7%,56
Спорт / Краги конные,Краги для снегоходов,"312,603",569,2700.0%,100.0%,60.2%,24
Держатели для аквариума,Держатели для аквариума,"311,939",803,1650.0%,100.0%,74.7%,60
Красота / Наборы,Наборы для слэклайна,"307,102",895,2750.0%,100.0%,61.4%,20
Спорт / Трамплин,Трамплины,"305,871","2,821",2250.0%,100.0%,74.8%,12
Ремни для выпрямления ног,Ремни для выпрямления ног,"305,664","1,528",2750.0%,73.1%,67.3%,36
Самостраховки,Самостраховки,"305,429","1,422",2700.0%,79.2%,66.3%,14
Акции / БИПАП-аппарат,БИПАП-аппараты,"303,386","3,074",2550.0%,100.0%,72.2%,9
Дом / Смесители,Смеси М-150,"301,371",829,2600.0%,100.0%,65.4%,18
Красота / Спреи,Спреи для цитрусовых,"301,275",500,2950.0%,100.0%,59.4%,35
Здоровье / Компрессионные брюки,Компрессионные брюки,"300,955","2,284",2500.0%,100.0%,70.9%,16
Сад и дача / Обливные устройства,Устройства AirFloss,"298,988","1,540",2550.0%,100.0%,69.8%,30
Для ремонта / Сетки для писсуаров,Сетки для писсуаров,"289,082",510,2750.0%,100.0%,55.7%,43
Электроника / Дисплеи для камер,Выносные дисплеи,"288,705","3,647",2650.0%,70.0%,22.7%,24
Электроника / Электроролики,Электроролики,"286,429",479,2550.0%,100.0%,61.2%,26
Растворы для разведения хны,Растворы для разведения хны,"286,269",570,3250.0%,91.8%,54.0%,43
Акции / Кадило для кальяна,Кадило для кальяна,"286,235","1,480",2850.0%,100.0%,66.8%,15
Зоотовары / Хлопья для животных,Хлопья для животных,"286,234",412,2150.0%,100.0%,60.0%,21
Вставки для большого пальца,Вставки для большого пальца,"286,186",534,2550.0%,100.0%,51.6%,60
Зоотовары / Шины для животных,Шины для животных,"285,658",680,1650.0%,70.0%,18.4%,22
Факельные устройства облегчения пуска,Факельные устройства облегчения пуска,"283,627",916,2150.0%,70.0%,17.9%,22
Дом / Обручи для барабанов,Обручи для барабанов,"283,617","1,544",2850.0%,70.0%,16.2%,34
Автотовары / Муфты на руль,Муфты для рук,"282,822","1,173",3450.0%,100.0%,59.5%,30
Обувь / Жиры для обуви,Жиры для обуви,"280,164",641,3450.0%,100.0%,54.6%,17
Продукты / Крупа гороховая,Крупа гороховая,"278,891",462,1650.0%,100.0%,66.2%,7
Кронштейны для уздечек,Кронштейны для уздечек,"277,201","1,059",2950.0%,100.0%,63.5%,24
Сад и дача / Замки дверные,Переходы дверные,"274,881",779,2850.0%,100.0%,61.6%,17
Спорт / Ленты для пуант,Ленты для пуант,"271,301",865,2950.0%,100.0%,62.4%,21
Товары для взрослых / Браслеты эротик,Браслеты эротик,"269,857","1,022",2950.0%,100.0%,62.1%,41
Калибраторы для фруктов и овощей,Калибраторы для фруктов и овощей,"268,904",951,2950.0%,70.0%,10.4%,18
Направляющие для напильника,Направляющие для напильника,"268,308","1,363",2250.0%,70.0%,21.2%,6
Аксессуары / Ювелирные четки,Ювелирные четки,"267,492",731,3300.0%,100.0%,59.5%,15
Канцтовары / Резаки для бумаги,Резаки для сигары,"265,923","1,384",2850.0%,100.0%,65.7%,35
Обувь / Блески для обуви,Блески для обуви,"264,434","1,152",3450.0%,100.0%,52.0%,63
Для ремонта / Счетчики воды,Счетчики посетителей,"261,067","2,648",2650.0%,100.0%,71.0%,13
Бытовая техника / Карамелизаторы,Карамелизаторы,"260,854","1,121",1950.0%,70.0%,22.3%,7
Экипировка для снегохода,Экипировка для снегохода,"259,746","1,262",2150.0%,70.0%,21.5%,24
Подставки под гладильные прессы,Подставки под гладильные прессы,"259,518","2,088",2950.0%,70.0%,17.3%,24
Товары для взрослых / Пояса эротик,Пояса эротик,"258,861",764,2950.0%,100.0%,61.3%,20
Автотовары / Чехлы,Чехлы для ножниц,"257,144",550,3450.0%,100.0%,50.5%,25
Мужчинам / Жилеты,Жилеты фиксирующие,"256,024",528,2550.0%,100.0%,4.3%,20
Спорт / Пучковязы,Пучковязы,"255,128","1,109",2250.0%,100.0%,61.6%,44
Полупроводниковые модули,Полупроводниковые модули,"254,132","1,055",2850.0%,70.0%,12.6%,9
Аксессуары / Берет,Береты для малышей,"252,191",505,3450.0%,100.0%,47.8%,13
Бытовая техника / Весы,Навесы над крыльцом,"251,929","4,043",2800.0%,70.0%,21.5%,13
Товары для взрослых / Слепки эротик,Слепки эротик,"250,827","2,712",2450.0%,70.0%,23.6%,15
Дом / Ножки для барабанов,Ножки для барабанов,"249,326",568,2850.0%,70.0%,2.9%,24
Электроника / Сигвеи,Сигвеи,"246,167","14,157",3050.0%,100.0%,69.0%,10
Электроника / Гироцикл,Гироциклы,"243,112","5,768",2550.0%,70.0%,24.9%,14
Навигация для робот-пылесосов,Навигация для робот-пылесосов,"242,992","1,156",2550.0%,70.0%,16.6%,26
Здоровье / Магниты медицинские,Магниты медицинские,"242,568",708,2550.0%,100.0%,60.2%,29
Спорт / Колодки стартовые,Колодки стартовые,"238,677","3,487",2250.0%,100.0%,75.3%,8
Автотовары / Регуляторы прогрева,Регуляторы прогрева,"238,048","2,168",2650.0%,100.0%,68.7%,14
Интерфейсы для микроэлектроники,Интерфейсы для микроэлектроники,"237,326",742,2850.0%,75.0%,61.0%,7
Салфетки для удаления смазки,Салфетки для удаления смазки,"236,103",701,2750.0%,100.0%,61.1%,21
Спорт / Халаты спортивные,Халаты спортивные,"236,013","1,757",3450.0%,50.0%,56.4%,6
Здоровье / Очки перископы,Очки перископы,"234,114",972,2500.0%,100.0%,66.8%,20
Таймеры для автоматизации птичника,Таймеры для автоматизации птичника,"233,336","1,312",1650.0%,100.0%,77.4%,22
Запчасти для снегокатов,Запчасти для снегокатов,"232,556",779,2750.0%,81.4%,59.9%,21
Обувь / Гелевые стельки,Гелевые полоски,"232,037",389,3450.0%,100.0%,44.9%,48
Для ремонта / Пробковые полы,Пробковые полы,"231,080","10,029",2800.0%,88.0%,71.1%,2
Здоровье / Аппликаторы грязевые,Аппликаторы грязевые,"230,397",949,2550.0%,62.5%,61.0%,12
Красота / Наконечники для тату,Наконечники для тату,"228,277",426,3250.0%,85.0%,44.0%,55
Мебель / Подставка для руки компьютерная,Руки для фистинга,"228,230","2,328",2950.0%,100.0%,68.3%,16
Рукава для дрессировки,Рукава для дрессировки,"227,903","2,977",2150.0%,70.0%,27.0%,13
Треугольники бильярдные,Треугольники бильярдные,"227,541",670,2750.0%,84.2%,58.9%,19
Продукты / Пасты ягодные,Пасты ягодные,"227,028",488,2150.0%,100.0%,62.1%,9
Тороки для дичи,Тороки для дичи,"224,935",330,2750.0%,100.0%,59.0%,29
Валики для приседаний,Валики для приседаний,"224,733",593,2950.0%,100.0%,58.3%,21
Запчасти для игровых палаток,Запчасти для игровых палаток,"224,092","1,207",2850.0%,78.0%,63.0%,17
Электроника / Моноколеса,Моноколеса,"224,011","4,388",3000.0%,100.0%,68.2%,20
Декорации для муравьиных ферм,Декорации для муравьиных ферм,"222,827",656,1650.0%,80.5%,71.1%,41
Мужчинам / Термоджемперы,Термоджемперы,"220,425","1,720",3450.0%,100.0%,61.8%,13
Акции / Сухарики детские,Сухарики детские,"217,567",416,2150.0%,100.0%,59.3%,16
Товары для взрослых / Поводки эротик,Поводки эротик,"217,364","1,088",2950.0%,70.0%,12.0%,22
Для ремонта / Сифон,Сифонные поилки,"217,191",983,1650.0%,100.0%,75.4%,21
Корректоры артериального давления,Корректоры артериального давления,"217,172","9,314",2550.0%,100.0%,73.6%,31
Мужчинам / Пончо,Пончо для малышей,"216,905",827,3450.0%,100.0%,55.8%,26
Дом / Подставки,Подставки для сигар,"215,313",872,2350.0%,100.0%,67.9%,18
Акции / Негатоскоп,Негатоскопы,"215,303","8,053",2550.0%,100.0%,73.5%,8
Палочки для наращивания ресниц,Палочки для наращивания ресниц,"214,490",610,3250.0%,100.0%,54.4%,25
Датчики вращения педалей,Датчики вращения педалей,"213,883","1,584",2750.0%,100.0%,67.5%,10
Аксессуары / Штрипки для брюк,Штрипки для брюк,"212,937",454,3450.0%,87.3%,46.0%,57
Кольца для палок,Кольца для палок,"212,229",929,2750.0%,100.0%,63.9%,35
Картриджи для отпаривателей,Картриджи для отпаривателей,"208,100","3,274",2550.0%,100.0%,71.1%,16
Здоровье / Дефибриллятор,Дефибрилляторы,"207,017","106,376",2550.0%,70.0%,26.9%,2
Канцтовары / Резаки для бумаги,Резаки для мыла,"203,865","1,353",2950.0%,100.0%,63.3%,26
Дом / Держатели,Держатели для мела,"203,585",922,2950.0%,50.0%,58.1%,21
Автотовары / Чехлы,Чехлы для галстуков,"203,301",562,3450.0%,100.0%,52.4%,29
Губки для нанесения масла,Губки для нанесения масла,"203,032",609,3150.0%,100.0%,55.4%,25
Магниты для велокомпьютеров,Магниты для велокомпьютеров,"202,090",960,2950.0%,77.1%,63.0%,21
Столики для кормления животных,Столики для кормления животных,"201,422","1,800",2150.0%,100.0%,74.1%,16
Косточки для воротника рубашки,Косточки для воротника рубашки,"201,348",542,3450.0%,100.0%,53.0%,20
Дом / Одеяла,Одеяла одноразовые,"201,070","1,388",2550.0%,100.0%,68.7%,17
Бытовая техника / Маринаторы,Маринаторы,"200,998","1,579",2450.0%,70.0%,20.4%,31
Наклейки на ступни ног,Наклейки на ступни ног,"200,785",442,2450.0%,100.0%,64.4%,23
Дробилки для винограда,Дробилки для винограда,"199,551","1,130",2850.0%,100.0%,64.4%,23
Продукты / Мескаль,Мескаль,"199,170","6,430",450.0%,70.0%,46.1%,1
Съемники рыболовных крючков,Съемники рыболовных крючков,"198,261",785,2450.0%,100.0%,67.1%,30
Спорт / Счетчики судейские,Счетчики судейские,"198,115",936,2950.0%,100.0%,62.0%,21
Продукты / Креветки,Креветки,"197,924",497,1650.0%,70.0%,11.9%,7
Спорт / Замки цепи,Замки для колясок,"197,689",861,2650.0%,100.0%,64.2%,24
Мицеллярная вода для животных,Мицеллярная вода для животных,"196,985",801,2150.0%,70.0%,16.0%,17
Спорт / Слэмболы,Слэмболы,"196,649","1,432",2700.0%,100.0%,69.1%,8
Масло пищевое детское,Масло пищевое детское,"195,483",909,2200.0%,100.0%,69.2%,10
Для ремонта / Стеклоблоки,Стеклоблоки,"195,349","1,675",2850.0%,70.0%,16.8%,7
Автотовары / Шипы ремонтные,Шипы для педалей,"194,926",672,2750.0%,100.0%,60.6%,23
Акции / Фотометр,Фотометры,"194,901","2,260",2500.0%,70.0%,22.2%,3
Для ремонта / Плитка гранитная,Плитка гранитная,"193,137","5,695",2850.0%,100.0%,70.1%,15
Розжиги электрические,Розжиги электрические,"192,772","1,146",2850.0%,100.0%,64.5%,31
Грануляторы для комбикорма,Грануляторы для комбикорма,"192,760","1,018",2150.0%,100.0%,19.2%,15
Подставки для коптильни,Подставки для коптильни,"190,038","2,888",2450.0%,100.0%,71.8%,26
Спорт / Сноуборды,Сноуборды детские,"190,004","4,170",2750.0%,50.0%,68.7%,15
Спорт / Шипы для шиповок,Шипы для шиповок,"189,515","1,027",2950.0%,100.0%,62.7%,30
Держатели для баллончиков,Держатели для баллончиков,"189,346",668,2750.0%,100.0%,62.2%,10
Доски для пересаживания,Доски для пересаживания,"189,140","3,670",3250.0%,83.3%,64.9%,20
Продукты / Напитки молочные,Напитки молочные,"188,735",386,2150.0%,100.0%,57.7%,12
Крепления для массажеров,Крепления для массажеров,"187,971","1,294",2550.0%,100.0%,68.3%,16
Продукты / Хлопья гороховые,Хлопья гороховые,"187,461",478,2150.0%,96.9%,60.7%,11
Ночные сорочки для малышей,Ночные сорочки для малышей,"186,241","1,122",3450.0%,100.0%,58.4%,11
Запчасти для электронных сигарет,Запчасти для электронных сигарет,"185,661",877,2850.0%,66.7%,57.8%,27
Аксессуары / Тики,Мастики спортивные,"183,996","4,435",2750.0%,70.0%,22.3%,3
Игрушки / Кендамы,Кендамы,"183,289",984,2850.0%,100.0%,65.1%,87
Верёвочные перекладины,Верёвочные перекладины,"182,924",499,2750.0%,100.0%,1.0%,19
Продукты / Пончики,Пончики,"181,799",718,2150.0%,100.0%,67.4%,26
Продукты / Рыба,Рыба,"179,777",615,1650.0%,70.0%,16.5%,3
Мужчинам / Чулки,Велочулки,"179,351",683,3450.0%,100.0%,54.7%,25
Канцтовары / Дыроколы,Дыроколы для крышек,"176,307",468,2450.0%,100.0%,57.9%,29
Трафареты для окрашивания животных,Трафареты для окрашивания животных,"175,119",679,1650.0%,70.0%,18.3%,15
Наборы марок для коллекционирования,Наборы марок для коллекционирования,"175,058",282,2950.0%,100.0%,44.1%,30
Для ремонта / Двутавры,Двутавры,"174,904","1,301",2850.0%,70.0%,14.8%,5
Ершики для питьевых систем,Ершики для питьевых систем,"174,279",931,2750.0%,100.0%,61.0%,27
Накатки для лыж,Накатки для лыж,"174,101","1,482",2250.0%,100.0%,73.7%,10
Дом / Лопатки кухонные,Лопатки на пальцы,"172,212",475,2250.0%,100.0%,50.2%,32
Зоотовары / Мелки для шерсти,Мелки для шерсти,"171,180",873,2150.0%,100.0%,70.4%,24
Мужчинам / Плащи,Плащи для малышей,"170,393","1,798",3450.0%,100.0%,58.8%,22
Спринцовки для животных,Спринцовки для животных,"170,184","1,162",1650.0%,100.0%,76.6%,10
Стерилизаторы для смартфонов,Стерилизаторы для смартфонов,"169,917","1,324",2950.0%,100.0%,58.6%,19
Продукты / Абсент,Абсент,"169,146","3,069",450.0%,70.0%,44.1%,2
Лотки сменные для лыж,Лотки сменные для лыж,"168,473","1,273",2750.0%,70.0%,15.6%,4
Спорт / Гермоаптечки,Гермоаптечки,"166,641",530,2900.0%,100.0%,59.7%,18
Дом / Смесители,Смеси М-300,"166,444",503,2050.0%,100.0%,62.2%,17
Фильтры для фритюрниц,Фильтры для фритюрниц,"165,747",883,2450.0%,100.0%,66.4%,38
Дроны-опрыскиватели для сельского хозяйства,Дроны-опрыскиватели для сельского хозяйства,"164,938","3,901",2750.0%,100.0%,70.4%,9
Блоки управления двигателем снегохода,Блоки управления двигателем снегохода,"163,790","3,126",2650.0%,100.0%,70.9%,3
Бумага для папильоток,Бумага для папильоток,"162,812",837,2150.0%,100.0%,68.9%,7
Обувь / Автопятки,Автопятки,"162,020",366,3450.0%,100.0%,43.6%,22
Направляющие под каретку,Направляющие под каретку,"160,472","1,812",2750.0%,70.0%,18.4%,14
Кофеварки автомобильные,Кофеварки автомобильные,"159,562","3,109",2650.0%,100.0%,71.1%,13
Продукты / Рожь,Рожь,"158,570",272,2150.0%,96.3%,44.0%,31
Диффузоры для кальяна,Диффузоры для кальяна,"158,268","1,035",2350.0%,100.0%,68.8%,24
Обувь / Полироли для обуви,Полироли для обуви,"157,812","1,585",3450.0%,100.0%,60.5%,23
Для ремонта / Имитация бруса,Имитация бруса,"156,720","1,998",2850.0%,100.0%,67.5%,5
Спорт / Матрас для санок,Спинки для санок,"156,412","2,740",2250.0%,70.0%,25.6%,6
Продукты / Сет,Сеты,"156,280","1,274",1650.0%,70.0%,26.6%,39
Солезаменители,Солезаменители,"155,885",296,2150.0%,99.0%,51.2%,5
Продукты / Хлопья ячменные,Хлопья ячменные,"155,755",375,2150.0%,96.8%,55.6%,21
Товары для взрослых / Щеточки эротик,Щеточки эротик,"154,951",662,2450.0%,100.0%,63.4%,15
Продукты / Сырники,Сырники,"154,698",375,1650.0%,70.0%,4.0%,4
Бытовая техника / Увлажнители,Теплоувлажнители,"152,481","2,083",2950.0%,100.0%,67.0%,20
Продукты / Хлопья картофельные,Хлопья картофельные,"152,074",443,1650.0%,100.0%,61.9%,11
Продукты / Мальтодекстрин,Мальтодекстрин,"151,193",397,2150.0%,100.0%,58.3%,8
Автотовары / Полировальные машины,Полировальные камни,"150,544","1,695",2250.0%,100.0%,72.8%,15
Сосуды для святой воды,Сосуды для святой воды,"149,207","1,050",2450.0%,100.0%,67.9%,27
Сменные ручки для ирригаторов,Сменные ручки для ирригаторов,"148,462",986,2550.0%,100.0%,66.4%,19
Блеск-тату для животных,Блеск-тату для животных,"148,060",465,1650.0%,100.0%,67.5%,18
Для ремонта / Блок-хаус,Блок-хаус,"147,713","1,333",2850.0%,100.0%,15.0%,21
Женщинам / Дафлкоты,Дафлкоты для малышей,"147,171","1,038",2950.0%,70.0%,11.4%,14
Продукты / Хлеб,Хлеб,"146,838",133,1650.0%,100.0%,23.3%,13
Ушечистки для животных,Ушечистки для животных,"146,489",982,1650.0%,100.0%,76.2%,26
Дом / Курницы,Курницы,"146,400","1,136",2950.0%,100.0%,63.5%,26
Продукты / Сыры жареные,Сыры жареные,"144,958","1,078",1650.0%,70.0%,24.9%,4
Комплектующие для лодочных прицепов,Комплектующие для лодочных прицепов,"144,800","1,212",2750.0%,100.0%,65.9%,16
Средства по уходу за пилоном,Средства по уходу за пилоном,"144,033",816,2950.0%,85.7%,63.9%,6
Держатели зубной нити,Держатели зубной нити,"143,991",773,3250.0%,100.0%,57.2%,24
Гранаты тренировочные,Гранаты тренировочные,"143,790","1,376",2750.0%,100.0%,66.7%,24
Мебель / Барные стойки,Стойки для баллонов,"143,583","1,480",2350.0%,70.0%,20.9%,30
Компрессионные бриджи,Компрессионные бриджи,"141,298","1,138",3250.0%,100.0%,60.5%,12
Навесное оборудование для спецтехники,Навесное оборудование для спецтехники,"140,712","90,076",50.0%,70.0%,6.8%,1
Товары для взрослых / Колеса Вартенберга,Колеса Вартенберга,"140,124","1,430",2450.0%,70.0%,19.6%,18
Мебель / Столы плетеные,Столы плетеные,"139,886","10,726",2600.0%,100.0%,73.3%,16
Обувь / Лосьоны для обуви,Лосьоны для обуви,"139,468",318,3450.0%,100.0%,40.3%,18
Охладители для бокалов,Охладители для бокалов,"139,089","1,418",2750.0%,100.0%,66.9%,19
Дом / Стакан для зубных щеток,Оси для щеток,"138,777","1,788",2250.0%,70.0%,23.3%,3
Товары для взрослых / Стрэпы эротик,Стрэпы эротик,"138,152","1,020",2950.0%,100.0%,63.7%,18
Складные каркасные ванны,Складные каркасные ванны,"137,810","4,016",2700.0%,100.0%,70.9%,8
Профили для обработки лыж,Профили для обработки лыж,"137,467","3,022",2250.0%,100.0%,74.9%,2
Продукты / Хлопья из полбы,Хлопья из полбы,"135,238",435,1650.0%,100.0%,65.1%,10
Товары для взрослых / Благовония эротик,Благовония эротик,"134,703",974,2950.0%,100.0%,62.3%,11
Продукты / Пицца,Пицца,"134,532","1,124",1650.0%,70.0%,25.3%,1
Для ремонта / Грильято,Грильято,"133,480","1,147",2800.0%,70.0%,14.0%,34
Многомодульные станции для завтрака,Многомодульные станции для завтрака,"132,813","7,308",2450.0%,100.0%,74.4%,8
Костюмы реабилитационные,Костюмы реабилитационные,"132,226",835,2750.0%,70.0%,10.6%,10
Уход за инструментами,Уход за инструментами,"131,195",677,2150.0%,70.0%,13.3%,8
Пробковые компенсаторы,Пробковые компенсаторы,"130,833",650,2850.0%,100.0%,59.2%,10
Спорт / Связки для лыж,Связки для лыж,"130,109",510,2450.0%,57.1%,56.6%,56
Нахвостники для лошадей,Нахвостники для лошадей,"129,451","2,377",2900.0%,100.0%,62.1%,26
Продукты / Крупы бобовые,Крупы бобовые,"128,043",627,2150.0%,100.0%,63.7%,12
Товары для взрослых / Посуда эротик,Посуда эротик,"127,878","1,314",2950.0%,100.0%,64.4%,18
Кардиофлешки для животных,Кардиофлешки для животных,"127,876",697,1650.0%,70.0%,18.8%,5
Педали для тату машинки,Педали для тату машинки,"126,511","1,148",3250.0%,86.0%,59.4%,29
Ползунки для животных,Ползунки для животных,"126,193",851,1650.0%,70.0%,21.9%,3
Буферы тележки снегохода,Буферы тележки снегохода,"126,152","1,879",2150.0%,70.0%,24.6%,3
Канцтовары / Чернила,Чернила пищевые,"126,010",655,2150.0%,100.0%,68.1%,17
Продукты / Наггетсы,Наггетсы,"125,857",358,1650.0%,70.0%,2.5%,5
Приборы регистрации частичных разрядов,Приборы регистрации частичных разрядов,"125,736",471,2350.0%,70.0%,3.5%,11
Акции / Трубки курительные,Трубки курительные,"125,551",520,2850.0%,91.7%,54.7%,9
Дом / Мыльные основы,Основы для пицц,"124,698",600,2150.0%,100.0%,65.2%,4
Защитные ленты обода ракетки,Защитные ленты обода ракетки,"124,546",710,2750.0%,100.0%,64.0%,15
Детям / Подзоры для кроватей,Подзоры для кроватей,"122,513","1,584",2650.0%,100.0%,68.1%,20
Женщинам / Кейпы,Кейпы для малышей,"121,782",555,2950.0%,70.0%,1.4%,23
Канцтовары / Смывки для клея,Смывки для лыж,"120,845",729,2700.0%,100.0%,62.5%,23
Детям / Компрессы детские,Компрессы детские,"120,194","1,079",2500.0%,100.0%,67.6%,15
Мужчинам / Рубашки одноразовые,Рубашки одноразовые,"119,702",947,2850.0%,100.0%,63.1%,10
Наборы для кэнди бара,Наборы для кэнди бара,"119,638",763,2900.0%,100.0%,61.6%,25
Компрессионные леггинсы,Компрессионные леггинсы,"117,858",780,2500.0%,100.0%,64.7%,22
Продукты / Тесто,Тесто,"116,355",664,2150.0%,70.0%,12.9%,5
Электроника / Трекеры времени,Трекеры времени,"114,997","1,468",2750.0%,100.0%,67.1%,22
Товары для взрослых / Подвязки эротик,Подвязки эротик,"112,984",762,2950.0%,100.0%,60.0%,12
Бытовая техника / Кухонные плиты,Плиты пазогребневые,"111,369",781,2850.0%,70.0%,8.6%,6
Спорт / Базы спортивные,Базы спортивные,"111,068","1,832",2700.0%,100.0%,68.6%,19
Сад и дача / Насосы и помпы,Насосы на член,"110,627","1,098",2950.0%,100.0%,62.9%,14
Косметика для лодок и яхт,Косметика для лодок и яхт,"110,037","1,917",2150.0%,70.0%,24.7%,2
Сменные накладки для шлеек,Сменные накладки для шлеек,"109,425",820,1650.0%,70.0%,21.4%,7
Насосы для секс кукол,Насосы для секс кукол,"109,104","1,684",2450.0%,70.0%,20.9%,2
Для ремонта / Очки лазерные,Лазерные излучатели,"108,838","1,949",2850.0%,70.0%,17.8%,11
Продукты / Макаруны,Макаруны,"107,857",833,1650.0%,70.0%,21.6%,2
Товары для взрослых / Указки эротик,Указки эротик,"107,173",814,2450.0%,100.0%,65.7%,8
Сумки для гироскутеров,Сумки для гироскутеров,"105,819","2,079",2950.0%,100.0%,64.9%,20
Электронные сертификаты,Электронные сертификаты,"105,330","2,925",500.0%,70.0%,43.4%,1
Продукты / Конечности краба,Конечности краба,"104,736","2,458",1650.0%,70.0%,31.1%,1
Корпуса для гироскутеров,Корпуса для гироскутеров,"104,582","1,958",2450.0%,70.0%,21.9%,5
Акции / Рыбные палочки,Рыбные палочки,"103,540",696,1650.0%,70.0%,18.8%,10
Топы послеоперационные,Топы послеоперационные,"102,052","1,407",2750.0%,33.3%,55.4%,12
Продукты / Хлопья ржаные,Хлопья ржаные,"100,631",536,1650.0%,97.3%,68.1%,20
Сад и дача / Сруб,Срубы,"100,000","207,999",300.0%,70.0%,49.4%,1
Анализаторы состава тела,Анализаторы состава тела,"99,121","1,192",2750.0%,100.0%,66.4%,45
Соединения для подоконника,Соединения для подоконника,"98,437",857,2850.0%,70.0%,10.0%,14
Дом / Шкафные группы,Шкафные группы,"97,113","7,126",2650.0%,40.0%,72.4%,12
Топливо для биокаминов,Топливо для биокаминов,"96,503","1,651",2450.0%,70.0%,20.7%,3
Здоровье / Скребки Гуаша,Скребки для лыж,"94,948",634,2750.0%,85.7%,60.3%,30
Продукты / Масло сливочное,Масло сливочное,"93,686",269,2150.0%,71.4%,36.9%,14
Продукты / Перец фаршированный,Перец фаршированный,"92,022","2,728",1650.0%,100.0%,80.6%,3
Обувь / Масла для обуви,Масла для обуви,"91,835",998,3450.0%,100.0%,58.4%,24
Спорт / Доски спасательные,Доски спасательные,"91,696","3,804",2250.0%,70.0%,26.8%,2
Продукты / Сало,Сало,"91,195",327,2150.0%,100.0%,54.0%,5
Продукты / Аквавит,Аквавит,"90,520","7,140",450.0%,70.0%,46.3%,1
