display,name,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales
Контейнеры для детского питания,Контейнеры для детского питания,"27,344,434",843,2650.0%,85.1%,62.8%,702
Для ремонта / Лотки для метизов,Лотки для метизов,"27,268,392",941,3150.0%,87.5%,58.6%,179
Лезвия для пистолетных ножей,Лезвия для пистолетных ножей,"27,227,135",759,3050.0%,91.6%,58.5%,165
Щупы для мультиметров,Щупы для мультиметров,"27,128,736",831,3150.0%,90.9%,57.4%,251
Спорт / Велошорты,Велошорты,"27,114,921","1,392",3450.0%,43.0%,53.1%,70
Диспенсеры для туалетной бумаги,Диспенсеры для туалетной бумаги,"27,048,656","1,570",2950.0%,74.0%,63.8%,298
Усилители для светодиодных лент,Усилители для светодиодных лент,"27,036,577",560,3250.0%,100.0%,54.1%,89
Дом / Посуда сувенирная,Посуда сувенирная,"27,028,637",502,2950.0%,66.7%,52.2%,681
Дом / Кожа для рукоделия,Кожа для рукоделия,"27,020,608",654,2950.0%,80.5%,57.0%,419
Сад и дача / Домики сувенирные,Домики сувенирные,"26,984,211",838,2150.0%,84.5%,68.8%,406
Видеорегистраторы персональные,Видеорегистраторы персональные,"26,944,101","3,353",2700.0%,70.0%,70.2%,91
Пульверизаторы для растений,Пульверизаторы для растений,"26,911,831",707,2450.0%,92.4%,64.0%,940
Держатели для игровых консолей,Держатели для игровых консолей,"26,898,686","1,136",2150.0%,83.2%,69.8%,308
Оборудование зуботехническое,Оборудование зуботехническое,"26,860,291",793,2550.0%,92.0%,65.6%,100
Воронки автомобильные,Воронки автомобильные,"26,826,348",670,2150.0%,81.6%,64.8%,441
Мебель / Двери для шкафа,Двери для шкафа,"26,792,607","1,848",2650.0%,84.1%,68.1%,62
Дом / Порошки для уборки,Порошки для уборки,"26,778,348",626,2950.0%,95.4%,56.8%,628
Красота / Кусачки педикюрные,Кусачки педикюрные,"26,755,367",748,3250.0%,89.7%,56.5%,606
Дом / Бары,Бары,"26,727,548","1,451",2950.0%,100.0%,62.6%,198
Детям / Подушки для малышей,Подушки для малышей,"26,726,466","1,433",2650.0%,84.3%,67.9%,611
Спорт / Шатуны велосипедные,Шатуны велосипедные,"26,706,700","2,354",2750.0%,83.6%,63.4%,241
Боксы для элементов питания,Боксы для элементов питания,"26,687,304",583,2750.0%,93.8%,60.2%,218
Дом / Часы песочные,Часы песочные,"26,676,771",919,2450.0%,91.1%,67.2%,568
Пинцеты для наращивания ресниц,Пинцеты для наращивания ресниц,"26,616,358",532,3250.0%,78.9%,50.6%,347
Панели вызывные для домофона,Панели вызывные для домофона,"26,597,500","5,334",2450.0%,92.3%,73.7%,153
Флейты,Флейты,"26,571,637",991,2850.0%,86.4%,61.9%,483
Красота / Краски для тату,Краски для тату,"26,547,957","1,092",3150.0%,85.0%,60.0%,142
Чехлы для кресел-мешков,Чехлы для кресел-мешков,"26,545,407","1,278",2150.0%,88.9%,59.0%,105
Витамины для сельскохозяйственных животных,Витамины для сельскохозяйственных животных,"26,539,141",724,2150.0%,96.1%,66.4%,221
Комплекты ГБО,Комплекты ГБО,"26,511,137","4,592",2150.0%,85.7%,76.9%,55
Насадки для строительных миксеров,Насадки для строительных миксеров,"26,499,405","1,024",2650.0%,91.3%,65.4%,218
Термометры электронные,Термометры электронные,"26,498,399",665,2550.0%,87.3%,60.3%,550
Отдушки косметические,Отдушки косметические,"26,498,119",549,3250.0%,88.0%,49.8%,249
Продукты / Пасты,Пасты полировальные,"26,493,671",745,2850.0%,91.1%,59.1%,356
Арбалеты для отдыха,Арбалеты для отдыха,"26,414,142","2,513",2750.0%,78.6%,69.8%,76
Пароварки электрические,Пароварки электрические,"26,403,767","2,333",2450.0%,78.3%,71.5%,204
Продукты / Сухие напитки,Сухие напитки,"26,385,508",784,2150.0%,94.8%,68.2%,298
Чехлы флип-кейс для телефонов,Чехлы флип-кейс для телефонов,"26,371,216",711,2950.0%,100.0%,60.6%,116
Другие строительные крепления,Другие строительные крепления,"26,360,148",669,2850.0%,88.9%,60.4%,293
Здоровье / Пеленки для взрослых,Пеленки для взрослых,"26,353,203","1,494",3250.0%,91.8%,62.4%,219
Шестерни привода масляных насосов,Шестерни привода масляных насосов,"26,340,976","3,390",2650.0%,100.0%,71.2%,35
Мебель / Счетчики банкнот,Счетчики банкнот,"26,324,689","4,426",2650.0%,81.1%,70.5%,93
Зоотовары / Обувь для животных,Обувь для животных,"26,294,632",808,2150.0%,40.8%,56.3%,541
Продукты / Гречка,Гречка,"26,259,756",610,1650.0%,95.8%,69.9%,209
Автотовары / Чернители шин,Чернители шин,"26,258,848",758,2650.0%,93.1%,61.5%,513
Столики автомобильные,Столики автомобильные,"26,253,990","1,904",2650.0%,78.1%,67.4%,516
Канцтовары / Записные книжки,Записные книжки,"26,248,488",507,2950.0%,86.9%,49.9%,497
Системы персонального мониторинга,Системы персонального мониторинга,"26,238,002","2,456",2850.0%,70.0%,19.1%,48
Электроника / Дым машины,Дым машины,"26,160,716","5,509",2750.0%,84.2%,70.8%,85
Карандаши механические,Карандаши механические,"26,117,210",727,2450.0%,91.6%,65.5%,400
Для ремонта / Гладилки штукатурные,Гладилки штукатурные,"26,114,343","1,000",2850.0%,88.1%,62.2%,190
Дом / Тарелки декоративные,Тарелки декоративные,"26,098,615",904,2950.0%,86.3%,61.2%,558
Для ремонта / Индикаторы и дисплеи,Индикаторы и дисплеи,"26,054,660","1,848",2850.0%,70.0%,17.5%,32
Спорт / Пояса для похудения,Пояса для похудения,"26,044,502",790,2950.0%,62.4%,54.9%,452
Дом / Мешочки подарочные,Мешочки подарочные,"26,017,439",582,3250.0%,88.2%,51.8%,930
Автотовары / Ремни безопасности,Ремни безопасности,"26,016,217",828,2650.0%,92.5%,64.4%,281
Зоотовары / Перосъемные машины,Перосъемные машины,"26,007,683",994,2150.0%,91.0%,69.8%,299
Спорт / Маты спортивные,Маты спортивные,"25,998,383","2,837",2750.0%,78.1%,69.7%,197
Защелки для дверных ручек,Защелки для дверных ручек,"25,939,404",943,2850.0%,84.7%,62.1%,460
Спорт / Кобуры для оружия,Кобуры для оружия,"25,933,851","1,193",2750.0%,76.8%,64.3%,408
Акции / Дренаж,Дренажи,"25,837,789",612,2950.0%,92.6%,57.7%,616
Подписки игровых сервисов,Подписки игровых сервисов,"25,829,590","1,984",2150.0%,90.4%,74.2%,181
Очистители автостекол,Очистители автостекол,"25,790,588",658,2650.0%,92.5%,59.3%,569
Атласы учебные,Атласы учебные,"25,785,845",517,2950.0%,82.3%,52.9%,243
Сад и дача / Коврики для гаража,Коврики для гаража,"25,775,440","1,024",2650.0%,70.0%,14.3%,34
Подушки балансировочные,Подушки балансировочные,"25,766,587","1,432",2750.0%,82.3%,66.4%,294
Экраны для радиаторов,Экраны для радиаторов,"25,706,665","4,930",2950.0%,75.8%,68.2%,139
Аппараты для запаивания пакетов,Аппараты для запаивания пакетов,"25,695,967","1,082",2450.0%,85.8%,67.3%,360
Красота / Воски для волос,Воски для брекетов,"25,649,989",771,2750.0%,91.0%,60.0%,84
